Type:Windows.ApplicationModel:DesignMode
Type:Windows.ApplicationModel.Activation:IAppointmentsProviderShowTimeFrameActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderShowTimeFrameActivatedEventArgs:Duration:TimeSpan:{get;}
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderShowTimeFrameActivatedEventArgs:TimeToShow:DateTimeOffset:{get;}
Type:Windows.ApplicationModel.Activation:ICachedFileUpdaterActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ICachedFileUpdaterActivatedEventArgs:CachedFileUpdaterUI:CachedFileUpdaterUI:{get;}
Type:Windows.ApplicationModel.Activation:ICameraSettingsActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ICameraSettingsActivatedEventArgs:VideoDeviceController:Object:{get;}
Property:Windows.ApplicationModel.Activation:ICameraSettingsActivatedEventArgs:VideoDeviceExtension:Object:{get;}
Type:Windows.ApplicationModel.Activation:IContactActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:IContactCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactCallActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:IContactCallActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:IContactCallActivatedEventArgs:ServiceUserId:String:{get;}
Type:Windows.ApplicationModel.Activation:IContactMapActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactMapActivatedEventArgs:Address:ContactAddress:{get;}
Property:Windows.ApplicationModel.Activation:IContactMapActivatedEventArgs:Contact:Contact:{get;}
Type:Windows.ApplicationModel.Activation:IContactMessageActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactMessageActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:IContactMessageActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:IContactMessageActivatedEventArgs:ServiceUserId:String:{get;}
Type:Windows.ApplicationModel.Activation:IContactPickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactPickerActivatedEventArgs:ContactPickerUI:ContactPickerUI:{get;}
Type:Windows.ApplicationModel.Activation:IContactPostActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactPostActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:IContactPostActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:IContactPostActivatedEventArgs:ServiceUserId:String:{get;}
Type:Windows.ApplicationModel.Activation:IContactsProviderActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactsProviderActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:IContactVideoCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IContactVideoCallActivatedEventArgs:Contact:Contact:{get;}
